toi,tic,period_used,catalog_period,catalog_depth_ppm,fit_converged,t0_fit,t0_err,rp_rs_fit,rp_rs_err,a_rs_fit,a_rs_err,inc_fit,inc_err,u1_fixed,u2_fixed,depth_fitted_ppm,depth_ratio,rms_residual,n_nearby,contamination_ratio,dilution_factor,tmag_target,plot_path
6783.01,291013124,6.03895703999933,6.0368213,108361.0,True,8.964717100065571e-05,0.00377947463100939,0.247200345875694,0.555941825458329,22.852932192720107,101.41451131207592,89.99836227028075,22566.550875882447,0.68,0.12,76598.98692067513,0.7068870434997382,0.00455253247054791,1,0.02055322610893098,0.979860701447886,14.5979,results\TOI_6783.01_batman.png
2496.01,160328683,1.5747462399999654,1.5746828,77503.5100766,True,-0.002328008018248789,0.0005040615954776376,0.4507396072957088,10.528303735028064,4.409984142829209,9.648314970484284,75.35968659178302,135.72205045740773,0.68,0.12,48221.92718498053,0.6221902354786353,0.0017903403399051462,3,1.7219885305119096,0.3673784767241232,14.1969,results\TOI_2496.01_batman.png
5836.01,354727907,8.449401039999064,8.4498763,71390.0,True,-0.0036085673375490694,0.0019441415256482306,0.325192183855721,0.009013374888285084,24.20548877972514,0.0002185059938082882,88.0577089526631,0.002253800379222391,0.68,0.12,64972.802372060156,0.910110692983053,0.004491924364050877,17,0.8931949414730063,0.5282076230469678,14.5478,results\TOI_5836.01_batman.png
5023.01,213111428,2.27549903999995,2.2749988,68800.0,True,0.0006189178612709563,0.001255698225816274,0.20110778795644155,0.07986842669023782,12.707823329579753,12.662036659313037,89.99999999493308,41233308.008173674,0.68,0.12,52698.92317079816,0.7659727205057872,0.006624952410928643,42,3.240906331781471,0.2357986528742623,14.9582,results\TOI_5023.01_batman.png
6449.01,168936945,2.4408301599999462,2.4404127,67496.0,True,-0.00022125244037098478,0.000889302165695707,0.24805346583940754,0.015095729232157682,12.012366612365266,1.1693759674597217,86.87671370443763,0.7375572639387431,0.68,0.12,64079.48414145648,0.9493819506556904,0.004775722600333809,0,0.0,1.0,14.9728,results\TOI_6449.01_batman.png
3157.01,456962262,2.8823546400001927,2.8823183,66566.1005931,True,0.006761099107403143,0.0014648482249314525,0.2676978622330972,0.12707031633491367,5.633611516275683,0.5250196766765192,81.4420282770659,3.31617736662399,0.4,0.26,55322.84034738066,0.8310963065953608,0.0037159629180486516,34,0.3017120112754171,0.7682190771368855,13.6244,results\TOI_3157.01_batman.png
3012.01,437560683,3.0921237600002063,3.0920297,63491.9490893,True,0.0027609040798708935,0.0022198030087748214,0.4558041290150189,49.45995787855533,4.5276330941826615,42.725336403036614,75.52979005964089,630.2267624274186,0.4,0.26,49157.99671710408,0.7742398433534378,0.004169288116663491,29,0.6717251346211505,0.5981844618413432,13.7563,results\TOI_3012.01_batman.png
6641.01,241525834,1.9643228799999568,1.9647786,60692.0,True,0.0007457301156700457,0.0005937800158084449,0.29615113917197017,0.03450284597008734,8.691250234188834,0.49562763606053967,85.29552615054827,0.8913891299266948,0.68,0.12,84436.79108919844,1.3912342827588222,0.004069544588360186,10,0.2161012155988784,0.8222999756706454,14.85,results\TOI_6641.01_batman.png
6027.01,368678195,2.84051696000019,2.8406462,57872.8336091,True,0.004579605736421991,0.0006820386443194092,0.18795621438142873,0.003188022025859767,9.522325216476847,0.5158189850687186,89.9999999997685,3207810.769680633,0.51554,0.18334,44054.282256810075,0.7612255960088832,0.0019805108919847218,6,0.47909333076132926,0.6760898580248976,13.8504,results\TOI_6027.01_batman.png
3033.01,398725538,3.998090480000267,3.9982381,53030.0,True,0.002741006025229682,0.000565765384397619,0.2419650792083893,0.004980521113946811,9.268657336709625,0.2918269754925694,85.89391956904257,0.31475261975144697,0.40928,0.24054,60974.10623074617,1.1498040020883682,0.0014999589397854986,18,0.27465216269373494,0.7845277553106645,13.5836,results\TOI_3033.01_batman.png
4622.01,94727308,1.2960523199999716,1.2969404,52197.5005433,True,0.0048232346902337625,0.004311914759768371,0.153367041648111,0.028464013600114326,2.954991926622154,1.166128183997433,78.88953812031222,15.22324330333187,0.68,0.12,27104.903765827083,0.5192758941271994,0.00981927891777596,1,0.014173594381255756,0.9860244888451242,16.1779,results\TOI_4622.01_batman.png
2911.01,141141249,1.7701056799999613,1.7701321,49803.4082445,True,0.0009677804394483561,0.0004541320096315692,0.19622174649464766,0.006113800881188232,8.950855081263736,0.6123022651699049,86.88237692987524,0.9041494728602065,0.67208,0.12287999999999999,45787.09941915449,0.9193567475216106,0.002246327756714654,17,1.7720699032593685,0.3607412637120771,14.2437,results\TOI_2911.01_batman.png
6527.01,437774844,5.388092799999403,5.389491,49190.0,True,-0.00027869574688103854,0.0031529727980228873,0.28496511828658233,0.4839890065483357,15.783224416600882,40.819287336426754,87.68169161166574,17.888754525844735,0.68,0.12,83354.61180623183,1.6945438464369145,0.0072112874940310715,16,0.5229888710742432,0.6566036160820059,14.7698,results\TOI_6527.01_batman.png
6616.01,349503728,1.1233093599999753,1.1235117,48991.0,True,0.013087500976906745,0.001198596805754477,0.41171082683903754,77.57336770870636,3.4384896712697586,58.01525776491244,70.33638799868382,1240.3159308819393,0.6789000000000001,0.1204,28873.581991522347,0.5893650260562623,0.0033272868284895305,5,0.41689726414359596,0.7057674718600166,14.9482,results\TOI_6616.01_batman.png
3223.01,297668572,4.633488000000309,4.633735,48110.0,True,-0.00397922456393285,0.0021442242701747377,0.17874335545303294,0.005652712630935107,5.816948868557978,0.5326481620305711,84.20260343194238,1.5622618715660173,0.4,0.26,35136.02130807025,0.7303267783843328,0.0025791495244343286,50,3.833930074379094,0.20687101067105268,13.2272,results\TOI_3223.01_batman.png
2455.01,434260570,4.720391200000315,4.720489,47110.570638,True,0.0033077343545394986,0.0008505438570356351,0.16194105242360696,0.013312873448143824,12.92062107135359,1.593626545832091,86.45760310832807,0.7820038334459957,0.66834,0.12423999999999999,23550.264251764096,0.4998934195199102,0.0008385864590395115,1,0.01766851298453884,0.9826382434367336,12.986,results\TOI_2455.01_batman.png
